contract_no,field_name,seller,secondary_seller,general_contractor,contract_qty,created_at,updated_at,memo,contract_date,start_date,jv,unit_price
1033000069,（仮称）浅草５丁目２３番マンション計画新築工事,㈱　オダ,丸壽産業（株）東京支店,新三平建設株式会社,1000,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:53.812483+00:00,,,,,
121000007,（仮称）葛飾区西新小岩4丁目計画,三谷商事㈱　東京支店,三谷商事㈱　東京支店,岩田地崎建設株式会社,2500,2026-06-10T23:30:18.546095+00:00,2026-06-25T00:39:59.613019+00:00,,,,,
40800011,（仮称）中央区月島４丁目１０計画新築工事,三谷商事㈱　東京支店,NC建材　㈱,小原建設　株式会社,1800,2026-06-10T23:30:18.546095+00:00,2026-06-25T00:40:10.757668+00:00,,,,,
94500019,（仮称）東京堂レジデンスＰＪ,東信建材　㈱,三谷商事㈱　東京支店,株式会社　久保工,750,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:46.989361+00:00,,,,,
1053300019,（仮称）ヴァローレ墨田新築工事,スミセ建材　㈱,ＭＵＣＣ商事㈱,新英興業　株式会社,900,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:48.151868+00:00,,,,,
1169400001,（仮称）台東区柳橋2丁目計画,山一興産　㈱,山一興産　㈱,辻建設株式会社,600,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:51.859987+00:00,,,,,
1165900002,プレジオ新小岩EURO 新築マンション計画,三谷商事㈱　千葉支店,三谷商事㈱　東京支店,株式会社 プレジオ,1250.0,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:51.988965+00:00,,,,,
1125800021,（仮称）墨田区東向島６丁目PJ,野原産業セメント　㈱,野原産業セメント　㈱,株式会社 オープンハウス・アーキテクト,1000,2026-06-10T23:30:18.546095+00:00,2026-06-24T06:24:11.81876+00:00,,,,,
10500016,（仮称）江東区亀戸四丁目計画,三谷商事㈱　東京支店,三谷商事㈱　東京支店,栗本建設工業 株式会社,1250.0,2026-06-10T23:30:18.546095+00:00,2026-06-11T06:03:01.516478+00:00,,,,,
1166800002,（仮称）CLASS浅草吾妻橋 店舗計画,千代田興業㈱,東和アークス　㈱,増木工業株式会社,400,2026-06-10T23:30:18.546095+00:00,2026-06-24T06:12:09.736891+00:00,,,,,
56700012,（仮称）葛飾区四ツ木四丁目マンション新築工事,阪和興業㈱　土木建材部　土木建材第2課,阪和興業㈱　土木建材部　土木建材第2課,信和建設 株式会社,950,2026-06-10T23:30:18.546095+00:00,2026-06-24T06:27:51.203996+00:00,,,,,
1074200007,墨田区太平４丁目計画,山一興産　㈱,スミセ建材　㈱,日本国土開発株式会社,1000,2026-06-10T23:30:18.546095+00:00,2026-06-24T07:27:21.563938+00:00,,,,,
18700047,（仮称）江東区扇橋1丁目 新築工事,東和アークス　㈱,千代田興業㈱,中野建設 株式会社,750,2026-06-10T23:30:18.546095+00:00,2026-06-24T06:21:02.835351+00:00,,,,,
1130000008,（仮称）江東区南砂４丁目計画新築工事,大葉セラム　㈱,大葉セラム　㈱,積水ハウス株式会社　東日本特建支店,1000,2026-06-10T23:30:18.546095+00:00,2026-06-24T06:08:24.043138+00:00,,,,,
1121000067,（仮称）江戸川区松島三丁目計画新築工事,三谷商事㈱　東京支店,三谷商事㈱　東京支店,髙松建設 株式会社,830.0,2026-06-10T23:30:18.546095+00:00,2026-06-11T06:03:07.336342+00:00,,,,,
1130000009,（仮称）墨田区業平２丁目計画新築工事,大葉セラム　㈱,大葉セラム　㈱,積水ハウス株式会社　東日本特建支店,400,2026-06-10T23:30:18.546095+00:00,2026-06-24T06:08:40.676427+00:00,,,,,
1091400007,（仮称）台東区元浅草１丁目計画新築工事,東信建材　㈱,三谷商事㈱　東京支店,株式会社三幸工務店,600.0,2026-06-10T23:30:18.546095+00:00,2026-06-11T04:50:26.402203+00:00,,,,,
1165600001,（仮称）森下１丁目マンション新築工事,三谷商事㈱　東京支店,三谷商事㈱　東京支店,株式会社 北岡組,1000.0,2026-06-10T23:30:18.546095+00:00,2026-06-11T06:03:01.871135+00:00,,,,,
1125500003,（仮称）浅草四丁目プロジェクト新築工事,三谷商事㈱　東京支店,三谷商事㈱　東京支店,株式会社 和田組,530.0,2026-06-10T23:30:18.546095+00:00,2026-06-11T06:03:01.755746+00:00,,,,,
88100022,（仮称）台東区浅草橋５丁目計画新築工事,上原成商事　㈱　　東京支店,丸壽産業（株）東京支店,株式会社　未来図建設,750,2026-06-10T23:30:18.546095+00:00,2026-06-23T23:42:20.214813+00:00,,,,,20500
1125800020,（仮称）江東区東陽５丁目Ⅱ計画 新築工事,㈱ファノス,阪和興業㈱　土木建材部　土木建材第2課,株式会社 オープンハウス・アーキテクト,500,2026-06-10T23:30:18.546095+00:00,2026-06-24T06:30:49.91116+00:00,,,,,
94500020,（仮称）日本橋本町ＰＲＥＸ新築工事,東信建材　㈱,住商セメント　㈱,株式会社　久保工,650,2026-06-10T23:30:18.546095+00:00,2026-06-24T06:15:23.649352+00:00,,,,,
1164300002,（仮称）プロスタイルウェルス小岩新築工事,三谷商事㈱　北関東第一支店,三谷商事㈱　北関東第一支店,株式会社埼玉丸山工務所,350,2026-06-10T23:30:18.546095+00:00,2026-06-24T07:26:51.201458+00:00,,,,,
