contract_no,field_name,seller,secondary_seller,general_contractor,contract_qty,created_at,updated_at,memo,contract_date,start_date,jv,unit_price
3600223,（仮称）ロイジェントパークス新川一丁目プロジェクト新築工事,三谷商事㈱　東京支店,三谷商事㈱　東京支店,大和ハウス工業 株式会社,1600.0,2026-06-11T04:00:38.720095+00:00,2026-06-11T06:02:58.787731+00:00,,,,,
1170400001,Ｔ様船堀４丁目PJ新築工事,スミセ建材㈱　北関東支店,スミセ建材㈱　北関東支店,㈱ 高橋組,900.0,2026-06-25T05:42:00.234943+00:00,2026-06-25T05:42:00.234943+00:00,,,,,
1166200001,東京東信用金庫　錦糸町支店建替計画,三谷商事㈱　東京支店,吉田建材　㈱,岡建・大正　建設共同企業体,1100,2026-06-11T04:00:38.720095+00:00,2026-06-24T06:37:07.314539+00:00,,,,,
100000024,小名木川水門場内及び周辺整備工事,三谷商事㈱　東京支店,三谷商事㈱　東京支店,青木あすなろ建設 ㈱,350.0,2026-06-25T05:42:54.032757+00:00,2026-06-25T05:42:54.032757+00:00,,,,,
1169900001,（仮称）台東区清川１丁目有料老人ホーム新築工事,スミセ建材　㈱,スミセ建材　㈱,宮坂建設工業株式会社,1000.0,2026-06-25T05:43:42.902308+00:00,2026-06-25T05:55:50.276525+00:00,,,,,
17800017,（仮称）綾瀬四丁目計画,大同建材産業　㈱,大同建材産業　㈱,真柄建設 ㈱,500.0,2026-06-25T05:45:26.784784+00:00,2026-06-25T05:45:26.784784+00:00,,,,,
1127800011,（仮称）サイドプレイス神田須田町 新築工事,千代田興業㈱,千代田興業㈱,㈱ 石井工務店,100.0,2026-06-25T05:46:21.415477+00:00,2026-06-25T05:46:21.415477+00:00,,,,,
1170500001,（仮称）中央区八丁堀三丁目_AP-HOTEL,,,大和財託㈱,300.0,2026-06-25T05:51:56.275304+00:00,2026-06-25T05:51:56.275304+00:00,,,,,
115100049,（仮称）江東区亀戸６丁目共同住宅新築工事,三谷商事㈱　東京支店,三谷商事㈱　東京支店,株式会社 リンク・トラスト,1500,2026-06-11T06:02:57.066166+00:00,2026-06-25T05:55:46.745661+00:00,,,,,
1168900003,（仮称）江戸川区西葛西2丁目共同住宅新築工事,三谷商事㈱　東京支店,三谷商事㈱　東京支店,株式会社 せんり,650.0,2026-06-25T05:55:46.23221+00:00,2026-06-25T06:09:35.409201+00:00,,,,,
4400041,セキグチ本社ビル新築工事（仮称）,三谷商事㈱　東京支店,三谷商事㈱　東京支店,北野建設 株式会社,600.0,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:53.689668+00:00,,,,,
3800080,都営住宅5CH-101東（台東区小島一丁目・台東区施設）工事,野原産業セメント（株）（1）,野原産業セメント（株）（1）,新日本建設 株式会社,3250,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:47.247295+00:00,,,,,
3600225,（仮称）SK－K神田駿河台計画,阪和興業㈱　土木建材部　土木建材第2課,阪和興業㈱　土木建材部　土木建材第2課,大和ハウス工業 株式会社,660,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:47.371166+00:00,,,,,
1171100001,（仮称）兼次様邸 新築工事,河島コンクリート工業㈱,河島コンクリート工業㈱,株式会社 ＲＣdesign,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
7900009,（仮称）葛飾区青戸四丁目計画新築工事,㈱　オダ,野原産業セメント（株）（1）,矢作建設工業 株式会社,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
1149500004,（仮称）御茶ノ水開発計画新築工事,TKConneCT　（株）,TKConneCT　（株）,（株）シマ,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
1168900001,（仮称）江戸川区中葛西５丁目共同住宅 新築工事,三谷商事㈱　東京支店,三谷商事㈱　東京支店,株式会社 せんり,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
1159600004,（仮称）ジーエスグランド葛西 新築工事,富沢資材産業　㈱,富沢資材産業　㈱,株式会社 谷口実業ＢＣ,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
78300003,（仮称）墨田区緑一丁目計画新築工事,東信建材　㈱,三谷商事㈱　東京支店,株式会社イチケン　東京支店,1000.0,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:51.739017+00:00,,,,,
1011500016,（仮称）動物病院かねがふち新築工事,塚本建材　㈱　東京支店,スミセ建材　㈱,株式会社　三浦工務店,500,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:52.836526+00:00,,,,,
1163300002,（仮称）台東区柳橋１丁目計画Ⅱ新築工事,スミセ建材　㈱,三谷商事㈱　東京支店,株式会社植木組　東京本店,800.0,2026-06-10T23:30:18.546095+00:00,2026-06-11T06:02:57.49035+00:00,,,,,
